"Id","Sales"
1,4252.52628638
2,6641.92394019
3,8030.12511774
4,6083.72747702
5,5740.08669951
6,5024.27023664
7,7500.45482064
8,6900.36046799
9,4129.15273969
10,5085.76372234
11,6022.91176368
12,7006.80390197
13,5997.56552529
14,7676.34871984
15,4707.65414278
16,4277.93580926
17,4933.70314155
18,8359.63703959
19,9931.65923173
20,8324.33422513
21,6353.17896078
22,5118.96175697
23,5348.5860677
24,3631.4414917
25,7492.55381991
26,8620.56772252
27,7962.28866453
28,4926.89465844
29,4380.51796718
30,4344.34217124
31,4579.1665288
32,9072.10348738
33,6189.75826714
34,4984.85732113
35,4719.76350576
36,6751.29200598
37,3746.49587448
38,6223.33720364
39,3685.61083661
40,5711.12530053
41,6709.46127982
42,4987.29559367
43,6573.88376995
44,5469.95148889
45,3960.03330536
46,6134.09453283
47,6420.16759588
48,9422.8964288
49,5600.00374842
50,7219.65996598
51,6705.91821533
52,8424.98737954
53,6008.64574433
54,8021.15074478
55,3974.4981633
56,4612.9934992
57,5567.32719577
58,5651.2447909
59,7903.45192996
60,6693.94424682
61,4974.5340225
62,7020.38937467
63,5856.14669244
64,8663.00592323
65,3369.81715095
66,11263.8836772
67,4378.61945048
68,5192.61757043
69,7310.53367997
70,4957.37142789
71,5210.60715014
72,5650.22667532
73,6638.94408064
74,4727.77130092
75,4555.75362193
76,6845.70777781
77,6790.72726242
78,6315.17759137
79,3869.25221148
80,6641.49992544
81,9250.25972457
82,5894.95070719
83,4402.66147298
84,6004.88433283
85,5469.95148889
86,5977.7458135
87,6174.46499684
88,3573.44399793
89,6893.87161628
90,5520.55194362
91,6444.16103638
92,6204.62808338
93,3823.7373537
94,6084.62695301
95,4455.89998125
96,6737.73322174
97,8388.97093238
98,4609.07297096
99,4812.36236706
100,5672.65953324
101,5344.53928531
102,4868.26136666
103,7452.70191652
104,5888.86701872
105,6869.78606023
106,5164.17003759
107,4103.07595874
108,5539.04447208
109,7464.58872496
110,7097.80430906
111,6896.79973436
112,6848.97263938
113,5264.98718865
114,7911.91767298
115,4871.40635815
116,6803.69715542
117,7876.01057673
118,5980.3295921
119,8713.74305592
120,6952.64767359
121,6853.16349003
122,5493.40354804
123,6274.3663373
124,6725.37934901
125,5458.57335659
126,3460.04225808
127,5185.34042155
128,7079.81552799
129,6361.85797786
130,4346.99626192
131,7564.29582277
132,6103.20011366
133,5306.57471736
134,5201.29906655
135,5094.683765
136,6651.30914854
137,6719.8252931
138,6050.56688762
139,4590.18835494
140,4340.63350675
141,5770.95278527
142,3197.66446185
143,5839.81900518
144,4284.09580116
145,8029.15816519
146,6451.3948348
147,5909.51746875
148,7181.02592815
149,4724.13851994
150,4358.67736866
151,9210.85779822
152,6136.96812527
153,7443.58165061
154,6934.0983355
155,5020.3121159
156,5307.23193046
157,5015.43754007
158,6978.66211595
159,10183.1544098
160,5941.67786314
161,2812.94811958
162,4316.2181105
163,6942.10610482
164,7667.70632527
165,5408.27480312
166,6186.59154291
167,4550.46587083
168,4914.59515162
169,2876.32434702
170,4434.13421962
171,5473.42484353
172,5954.07014557
173,6608.87050363
174,5402.07363729
175,6917.87855922
176,7913.49933269
177,7020.51339801
178,3946.9127833
179,8525.39513854
180,9150.87655768
181,5639.69043202
182,6896.38890913
183,4662.22163664
184,5710.19132248
185,3678.60660043
186,6335.90377504
187,4334.85185811
188,7851.84956477
189,6627.28838118
190,7790.58058219
191,7740.932957
192,5185.41639193
193,7342.8800777
194,17000.4577275
195,9233.81037344
196,4978.74949797
197,2473.68428928
198,5335.10660859
199,8529.33903645
200,5185.34042155
201,11584.6006891
202,19714.7631376
203,2882.64443916
204,4779.86582277
205,9337.56547082
206,4346.00758473
207,8197.27073418
208,5922.37264412
209,6314.21435543
210,3744.76807184
211,6219.58511382
212,5538.55839025
213,6862.08513187
214,7031.87644338
215,5744.93363317
216,5447.2368451
217,6439.06324156
218,4150.70255008
219,4131.13744496
220,6680.99915865
221,5255.18757092
222,5447.80113525
223,6307.49971053
224,5600.00374842
225,4640.91342558
226,6672.75176821
227,6220.23778331
228,7603.86175217
229,5768.47528186
230,6232.82458438
231,5163.53231205
232,3211.24363182
233,5710.19132248
234,6845.71462618
235,4663.49023549
236,4051.86321546
237,8247.70665802
238,6379.57551228
239,8228.90593251
240,5977.7458135
241,5118.96175697
242,4926.89465844
243,4224.48728773
244,8797.59743011
245,4247.70807226
246,7401.99312222
247,14008.8677929
248,6548.83657611
249,7379.41993443
250,4612.9934992
251,4137.44962074
252,6506.97433692
253,3671.73677718
254,5880.21895962
255,9342.11856846
256,5080.9988869
257,14193.4135599
258,12554.0406936
259,4346.45476668
260,6567.39237813
261,4756.21769041
262,6114.77807247
263,4870.87395247
264,9391.69548281
265,6476.09791234
266,7951.76835582
267,4026.52408259
268,6180.24660298
269,4420.78607577
270,7203.00553822
271,6131.16218678
272,5525.92874887
273,6152.84436894
274,5344.53928531
275,6965.51231527
276,9003.18502762
277,4926.89465844
278,8721.19824007
279,6433.36448863
280,8171.91954101
281,4297.89893487
282,4579.59521394
283,4727.50729115
284,8450.79564325
285,6092.01298332
286,6978.66211595
287,6006.64258302
288,7570.70801643
289,3930.22575743
290,7402.46585615
291,5852.19833321
292,3696.39488035
293,12168.2710294
294,16090.3116651
295,6022.91176368
296,6898.97592893
297,8267.37520389
298,9138.3062036
299,9930.64299683
300,5471.00813682
301,6724.09511588
302,5100.10565383
303,7324.10830339
304,3656.3222374
305,4999.51343012
306,4909.22912955
307,5055.09875338
308,7010.12382596
309,4395.25798457
310,4165.48735687
311,5410.53744018
312,3380.00885937
313,4159.33437233
314,5145.76142888
315,5440.43801533
316,8259.20378474
317,7133.8307712
318,6667.82687281
319,5825.09963097
320,5751.76785239
321,10350.7032268
322,6939.5086999
323,4708.91632634
324,3979.80593408
325,7983.73638434
326,4156.14372081
327,6153.05547763
328,3075.55604338
329,4586.63604479
330,6925.38198591
331,5346.2039247
332,4705.11150885
333,7741.2206636
334,9003.18502762
335,10700.4077817
336,5515.60694572
337,8791.00155474
338,2878.68700752
339,4831.12822893
340,5592.49366692
341,3754.28209318
342,7068.94440256
343,4709.74959266
344,4595.3694412
345,7964.17503491
346,10541.7785952
347,8782.01900446
348,4919.63374257
349,5149.81579609
350,7360.26907765
351,6052.07546154
352,5856.04281348
353,4216.56207457
354,6130.06848636
355,9089.74301366
356,3987.08405839
357,5640.563877
358,6751.29200598
359,7018.36575386
360,12059.9172943
361,5543.34315976
362,11107.5888078
363,6339.71247454
364,4831.92562147
365,3437.74328299
366,5406.04167731
367,5385.49650784
368,4704.32448928
369,6797.21903551
370,3899.82560517
371,4220.92998114
372,6574.07786917
373,3159.17857941
374,6734.34166716
375,5638.57681309
376,6661.34704509
377,7501.08902541
378,4827.85955624
379,8210.65572384
380,6148.59317526
381,4395.11313936
382,4638.55367741
383,4968.64114532
384,9549.04321761
385,6412.55843667
386,4355.6627304
387,6943.23470461
388,7535.04906138
389,6192.31648205
390,5709.78156558
391,7392.22186729
392,5149.81579609
393,5407.81888971
394,5109.48535839
395,7733.97630866
396,5486.22476834
397,5420.75407594
398,4471.55907421
399,4749.40105037
400,3460.64860615
401,5035.99838051
402,7279.99387387
403,7967.22527676
404,9233.52571141
405,9427.23623584
406,7300.85154845
407,4379.20297661
408,4778.01567521
409,9491.05530457
410,8754.04498929
411,6456.10425223
412,7748.4437045
413,7464.58872496
414,4999.48630714
415,3783.12621666
416,9285.94485157
417,4824.93605098
418,5931.14261992
419,5737.82527047
420,2582.06290273
421,9955.99225924
422,5210.53592615
423,4506.4818921
424,4360.29182698
425,5008.62115843
426,6125.90052142
427,7317.83404235
428,5838.59992271
429,4174.00653828
430,4622.94080456
431,3749.83420782
432,3056.14814416
433,6611.07591218
434,18021.7499465
435,4990.42829259
436,5046.58827328
437,5957.673079
438,4665.90460553
439,5020.76740658
440,3671.56595897
441,4033.1979756
442,6336.02402044
443,6190.03050364
444,3534.64185927
445,7889.93902088
446,4943.13363715
447,4629.90684241
448,7828.18320163
449,7191.33078044
450,9586.86369092
451,5029.06092649
452,6662.07837291
453,4190.22444357
454,5411.19117041
455,12507.8213113
456,8386.1070465
457,5954.07014557
458,4383.10923642
459,4358.67736866
460,5352.15384902
461,4875.32195098
462,10221.8854818
463,4612.9934992
464,5262.11531291
465,6406.97506374
466,4220.92998114
467,5948.41934879
468,6525.15532034
469,7292.28304053
470,6176.51926908
471,3725.29513483
472,4868.26927877
473,6163.6718125
474,8418.42339578
475,7896.4409839
476,5955.91161464
477,3903.02214423
478,6618.57542312
479,5231.28670762
480,4271.41342696
481,6492.02011669
482,6696.62854247
483,5911.84390149
484,4986.13856458
485,5786.36600029
486,6526.01401594
487,5080.9988869
488,6315.53591615
489,5887.60462864
490,5128.44895071
491,8169.96171538
492,5449.01729418
493,4312.64490135
494,10411.7405599
495,5738.69757235
496,3153.11512664
497,7296.03599962
498,7214.94057122
499,9493.53684771
500,4742.50652985
501,5503.49231972
502,5185.90980513
503,6551.1653927
504,5449.01729418
505,6906.61261433
506,2916.69447101
507,5447.2368451
508,5837.31097391
509,5351.96816697
510,4331.0264458
511,6069.03480219
512,7532.79436023
513,4092.16085801
514,7545.28368802
515,6160.87964225
516,7788.14227972
517,3967.37948008
518,5890.46066319
519,5439.01504304
520,6702.45668182
521,7275.43867992
522,5339.18722409
523,7191.33078044
524,7139.8375295
525,6607.09066941
526,4412.60075786
527,3236.97744084
528,6382.2711828
529,6303.41947804
530,7448.24342198
531,6676.02991297
532,5255.18757092
533,7544.28855532
534,6303.41947804
535,5792.87089752
536,6639.03317039
537,5184.54479219
538,7324.10830339
539,9313.21841095
540,7030.51804115
541,3968.01318018
542,4783.62214202
543,3770.35400266
544,0
545,7263.39202262
546,4709.41959357
547,7494.17207258
548,3846.51192152
549,6238.81550088
550,5786.36600029
551,9060.01988343
552,3997.998549
553,4798.73607995
554,5020.5726564
555,7342.8800777
556,4620.10822313
557,6719.52494941
558,6997.3561154
559,8976.48599728
560,6381.91232899
561,6661.70786703
562,5716.95956275
563,4143.5527878
564,4800.7056981
565,8885.90757705
566,8275.33960911
567,5852.86035453
568,14808.9821459
569,5725.91926143
570,4636.308114
571,5629.73147758
572,7424.81213787
573,8303.25653137
574,5956.29347327
575,7009.78431232
576,6912.86528
577,6218.20886659
578,5307.23193046
579,5318.94954643
580,4853.76339484
581,4186.05868989
582,3681.29668024
583,4749.72126465
584,7849.77210765
585,13877.703038
586,5424.05286154
587,4237.30159187
588,6203.69211687
589,3342.61829471
590,5694.34280924
591,3460.04225808
592,8200.68839091
593,5113.16246712
594,5650.12707413
595,11913.1476951
596,10388.940154
597,6345.91573385
598,5979.90860679
599,3319.61058821
600,5348.5860677
601,5237.96165765
602,7553.61978319
603,4362.42542988
604,3485.04917175
605,5079.19320326
606,4957.10882171
607,7043.86448748
608,5703.13729002
609,3143.11053
610,6477.57716623
611,6939.70714386
612,7224.7190147
613,4020.90270033
614,3836.75356249
615,7107.46283163
616,3451.42101558
617,8535.70385316
618,4779.69038781
619,4555.25796661
620,6261.11366673
621,5290.54611368
622,4124.49566148
623,5303.33353274
624,5865.1652898
625,8213.08505853
626,8225.33030732
627,5411.76220699
628,3792.02924823
629,5332.1941686
630,7403.43836229
631,4837.54404725
632,5455.44392548
633,5679.45520662
634,10031.1045711
635,6909.61577272
636,5510.06336197
637,6453.65844874
638,3896.31966585
639,8259.31025591
640,5361.76790829
641,11733.1704804
642,5710.33032375
643,4919.63374257
644,4378.73168352
645,3217.24729848
646,7254.6362239
647,15262.0807585
648,3730.26356163
649,4318.60677082
650,8540.42735941
651,6137.16845594
652,6089.05321691
653,7163.76589802
654,5452.33410147
655,4436.52396881
656,4413.82947892
657,8295.77301375
658,5270.86533395
659,6559.36516345
660,6282.58825013
661,4015.23552561
662,6165.99662269
663,5068.31028913
664,3119.29711032
665,8050.39798763
666,7751.47688688
667,3984.97992584
668,6661.14639445
669,6389.24213288
670,4279.66319708
671,8172.93813697
672,5287.76162398
673,7980.75960439
674,4261.38051227
675,4756.21769041
676,5811.63976178
677,0
678,7036.01299468
679,3717.18609844
680,5954.97119365
681,4379.38323616
682,4961.99719695
683,5028.65220093
684,5865.1652898
685,6090.33976623
686,7281.96465155
687,5153.5580601
688,6924.51542103
689,5913.95486961
690,7015.13724591
691,8103.44131775
692,6323.91202152
693,2861.37055769
694,4966.61891488
695,6862.08513187
696,4013.70417367
697,10188.4591709
698,5303.89963374
699,7563.4812006
700,9896.28403839
701,5869.26490444
702,3890.10639523
703,8755.28178338
704,9055.33141276
705,5070.68628104
706,7980.75960439
707,9479.60766771
708,4988.36352627
709,4636.6787295
710,6069.03480219
711,4919.99497853
712,4845.95129872
713,6419.71317853
714,4506.4818921
715,5474.5854259
716,6288.46875498
717,5788.27590185
718,6804.91341414
719,5620.79003943
720,6219.58511382
721,4069.81778799
722,6908.83439248
723,6304.26064345
724,5697.98093088
725,6063.85989029
726,6316.20294043
727,8577.63152577
728,4957.91869687
729,4325.36972914
730,5479.80483798
731,6573.72114505
732,6905.35534457
733,4167.63923222
734,3860.15647248
735,6900.94837267
736,6710.29715827
737,5235.90570337
738,6979.14433747
739,5709.59808129
740,5865.16794646
741,4335.42433078
742,3911.16378817
743,5988.22450982
744,5617.72552694
745,5594.30586859
746,9082.1509852
747,7326.45390644
748,4295.66402488
749,8680.31484481
750,2721.35296702
751,3313.01722173
752,6007.08285457
753,10023.9352551
754,7531.66323524
755,6587.22243777
756,4276.84436922
757,6178.88218421
758,8876.24483951
759,5163.5501661
760,7545.67232394
761,5735.40174436
762,4382.30382783
763,4861.20586179
764,4990.42829259
765,5269.16225996
